participant_id,age,sex,handedness
A00062266,42,FEMALE,RIGHT
A00062268,50,FEMALE,RIGHT
A00062282,38,MALE,RIGHT
A00062285,51,FEMALE,LEFT
A00062288,33,MALE,RIGHT
A00062292,52,FEMALE,RIGHT
A00062349,6,MALE,RIGHT
A00062351,29,MALE,RIGHT
A00062353,10,FEMALE,RIGHT
A00062361,9,MALE,RIGHT
A00062368,52,FEMALE,RIGHT
A00062369,16,FEMALE,LEFT
A00062411,27,FEMALE,RIGHT
A00062416,57,FEMALE,RIGHT
A00062797,11,FEMALE,RIGHT
A00062798,6,FEMALE,LEFT
A00062809,15,FEMALE,RIGHT
A00062917,24,FEMALE,RIGHT
A00062920,68,FEMALE,RIGHT
A00062923,67,FEMALE,RIGHT
A00062926,46,FEMALE,RIGHT
A00062928,62,FEMALE,RIGHT
A00062929,57,FEMALE,RIGHT
A00062934,34,MALE,RIGHT
A00062937,63,MALE,RIGHT
A00062942,42,FEMALE,RIGHT
A00062983,17,MALE,RIGHT
A00062989,15,FEMALE,RIGHT
A00062996,11,FEMALE,RIGHT
A00062997,8,MALE,RIGHT
A00063000,57,FEMALE,RIGHT
A00063003,13,MALE,RIGHT
A00063006,11,FEMALE,RIGHT
A00063008,43,FEMALE,RIGHT
A00063031,56,FEMALE,RIGHT
A00063103,23,FEMALE,RIGHT
A00063110,54,MALE,LEFT
A00063326,35,MALE,RIGHT
A00063327,9,FEMALE,RIGHT
A00063329,12,FEMALE,RIGHT
A00063368,27,FEMALE,RIGHT
A00063383,17,FEMALE,RIGHT
A00063424,47,FEMALE,RIGHT
A00063425,14,MALE,RIGHT
A00063450,19,FEMALE,LEFT
